%"phi","phi_dot","elevations","pressure","dphi_dn","fluid_vel_x","fluid_vel_y","fluid_vel_z","nodes_vel_x","nodes_vel_y","nodes_vel_z","break_wave_press","comp_1","comp_2","comp_3","comp_4","iges_normals_x","iges_normals_y","iges_normals_z","Points:0","Points:1","Points:2"
-0.1648071732,-0.006851945659,-0.003756029022,1.363997876,0.01594093831,2.117450675,-0.01331285904,0.01605988318,-8.862971095e-08,8.716099033e-08,5.979565636e-06,5.989942638e-11,2254.86377,-2298.243638,37.77996827,7.023925275,0,0,0,0.3776692346,1.984840036,-0.003756871667
-0.1604880394,-0.006822170934,-4.738807313e-05,2.480830361,0.02189726908,2.099611463,-0.009931043357,0.02197329693,-7.245635567e-08,1.473301975e-07,7.79454745e-06,-2.436370234e-11,2254.86377,-2259.842864,0.5062112345,6.993405401,0,0,0,0.7577587004,1.984839957,-5.033807235e-05
-0.162226727,-0.006793070946,0.003219978837,-4.055759373,0.01328183371,2.087428944,0.003418314167,0.013193941,-5.838191814e-08,2.301750114e-07,1.153195598e-05,-1.047466218e-10,2254.86377,-2233.422134,-32.32760038,6.963579249,0,0,0,1.137701814,1.984839982,0.003214683602
-0.1659561783,-0.006769037345,0.002326417752,-1.576075747,-0.0183741052,2.090369441,0.01459021046,-0.01828961318,-4.670513794e-08,3.212677313e-07,1.861093632e-05,-2.136506565e-10,2254.86377,-2239.845401,-23.32295815,6.93894578,0,0,0,1.517578639,1.984839925,0.002319254463
-0.1919790309,-0.00699000115,0.002170738829,0.1171327419,-2.407630532e-05,2.090466504,0.01449777013,-5.747053953e-05,-2.883031605e-07,3.941716307e-07,1.886828421e-05,-2.696089483e-11,2254.86377,-2239.981388,-21.93261059,7.165458749,0,0,0,-2.009696086,1.98484,0.00218099711
-0.1939439201,-0.006978227002,0.001465741262,4.884343024,-0.01108103379,2.091496944,0.01729190102,-0.01109691029,-2.431523637e-07,3.173583982e-07,1.53262876e-05,6.422245695e-11,2254.86377,-2242.254745,-14.83196865,7.153387705,0,0,0,-1.678229384,1.984839954,0.001474903322
-0.1946592446,-0.006969605696,0.001094628535,-1.332977482,-0.009262580848,2.096123125,0.01897449619,-0.009277689206,-2.14919071e-07,2.648439734e-07,1.389417719e-05,-1.437760344e-11,2254.86377,-2252.241989,-11.09312136,7.144548035,0,0,0,-1.480416206,1.984840006,0.001103109225
-0.1951599512,-0.006963698136,0.0008274425817,-6.226862053,-0.007659612405,2.0996473,0.02020168584,-0.00767423703,-1.949400227e-07,2.264545401e-07,1.293203876e-05,-7.178809424e-11,2254.86377,-2259.849495,-8.401487902,7.138490679,0,0,0,-1.346730191,1.984840045,0.000835450947
-0.1899662438,-0.006926462289,-0.002431922236,3.369875367,-0.01202304424,2.110413459,0.01424021467,-0.01204193041,-1.48877533e-07,1.135302187e-07,8.509003255e-06,-8.033338355e-11,2254.86377,-2282.989029,24.40452318,7.100314804,0,0,0,-0.6755213558,1.984839995,-0.002426806045
-0.1833832722,-0.006904678779,-0.004513646844,-1.720576299,-0.01205437878,2.122441196,0.00661913155,-0.01214172248,-1.261711311e-07,7.713559758e-08,6.667294401e-06,1.549104782e-10,2254.86377,-2308.983386,45.35698948,7.077982283,0,0,0,-0.3390148161,1.984839955,-0.004510337063
-0.1705958951,-0.007036823277,0.005595565847,-1.217604922,0.0168684013,2.074863687,0.00889814019,0.01676291618,4.588826733e-09,1.305449418e-07,7.613842611e-05,-4.517080073e-09,2254.86377,-2206.64186,-56.50140254,7.213451176,0,0,0,7.178684383,1.984840016,0.005618546926
-0.1802741521,-0.007068076157,0.006093686352,-1.95118365,-0.01002030203,2.072619461,0.03230060398,-0.01026018771,3.362191637e-09,1.106710227e-07,6.204537261e-05,-3.254530345e-09,2254.86377,-2202.295542,-61.55835541,7.245491001,0,0,0,7.555735949,1.984839993,0.006121414149
-0.1652667047,-0.007000892807,0.002556098007,-1.484619381,0.01660227905,2.089287412,-0.01450986801,0.01658803655,5.723049899e-09,1.554181643e-07,7.83614427e-05,5.30419784e-09,2254.86377,-2237.427696,-25.89596625,7.176613555,0,0,0,6.843879519,1.984839999,0.002575116543
-0.1647149292,-0.006996624528,0.002235408994,-1.573182611,0.01639421414,2.090832639,-0.01702246935,0.01636962693,5.862157647e-09,1.584551688e-07,7.85394415e-05,6.473531831e-09,2254.86377,-2240.738366,-22.66698602,7.172237583,0,0,0,6.80162639,1.984839994,0.002254024025
-0.1770683231,-0.006801573026,-0.006850836191,4.819334281,-0.03355973356,2.129045795,-0.04048669428,-0.0333560208,2.941171905e-08,5.646219869e-07,6.770569343e-05,-5.204787847e-11,2254.86377,-2324.433227,68.86873715,6.972269239,0,0,0,4.162112678,1.984839941,-0.006848364524
-0.1681205735,-0.006823429796,-0.001616057901,-1.280266068,0.005531950937,2.108703226,-0.009686701444,0.005728318625,2.415472406e-08,4.485554634e-07,6.959699431e-05,1.737977824e-10,2254.86377,-2279.323165,16.19627079,6.994693698,0,0,0,4.539220552,1.984840039,-0.00161057056
-0.1851186023,-0.006779903599,0.001813788132,-28.45025253,-0.1219302085,2.10085559,-0.03716764044,-0.1225214334,3.043221687e-08,6.676235116e-07,6.353707677e-05,2.111123549e-11,2254.86377,-2270.141843,-18.24429759,6.950049694,0,0,0,3.785002019,1.984840042,0.001814228255
-0.1549403948,-0.006830327462,-0.00253553966,-0.0802020179,0.07079795667,2.110905009,0.02167017558,0.07241665052,-3.651521742e-11,1.28474818e-08,-3.805202619e-06,4.721111307e-08,2254.86377,-2287.329242,25.49674246,7.001767119,0,0,0,10.94911931,1.984839945,-0.002535417393
-0.1540851504,-0.006808535016,6.129497279e-05,27.96134931,0.0534083232,2.086519235,0.0122476524,0.05331366716,-1.023357262e-10,1.016209848e-08,1.31761765e-05,-1.320753257e-07,2254.86377,-2232.995268,-0.6669030129,6.979430133,0,0,0,11.32615014,1.984840042,6.631737345e-05
-0.1672212954,-0.006879126065,-0.01361544043,14.76494783,0.08925138717,2.154046817,-0.03225940568,0.0912931845,1.812848934e-11,1.562679568e-08,-1.204681897e-05,1.600933325e-08,2254.86377,-2382.310067,136.9623836,7.051792294,0,0,0,10.57208905,1.984839998,-0.0136196529
-0.1636258145,-0.006752862564,-0.003624298565,-6.485811259,-0.04038167919,2.120079468,0.004406099263,-0.0406496963,-3.150439706e-08,4.645412375e-07,2.912904564e-05,-2.923030445e-11,2254.86377,-2304.494033,36.52519155,6.922358876,0,0,0,1.89646932,1.984840068,-0.003632095584
-0.1569905585,-0.006750944854,-0.006951721783,-2.957028444,-0.03462980556,2.133797142,-0.01902279129,-0.03600443067,-2.429436476e-08,5.265411341e-07,3.494712066e-05,8.878634101e-11,2254.86377,-2334.687456,69.98227304,6.920380428,0,0,0,2.08589397,1.984840063,-0.006959095798
-0.1496943872,-0.00675001904,-0.009247420435,1.663952224,-0.01687008918,2.141878337,-0.0482653739,-0.01839146853,-1.618690804e-08,5.966449301e-07,4.030847145e-05,2.389190678e-10,2254.86377,-2352.684808,93.06292082,6.919413686,0,0,0,2.275314114,1.984840069,-0.009254254896
-0.1659561783,-0.006769037345,0.002326417752,-1.498718639,-0.0183741052,2.090369441,0.01459021046,-0.01828961268,-4.670510297e-08,3.212673456e-07,1.861093874e-05,-2.136506528e-10,2254.86377,-2239.845466,-23.32295815,6.938945907,0,0,0,1.517578639,1.984839957,0.002319254525
-0.1658268516,-0.006760051596,-0.0004503627046,-2.661736498,-0.03698476666,2.103611467,0.01362472403,-0.03700023368,-3.900237644e-08,3.946612609e-07,2.372117448e-05,-5.501383809e-11,2254.86377,-2268.967337,4.605447116,6.929733632,0,0,0,1.707027428,1.984839997,-0.0004579694861
-0.1422942514,-0.006751578236,-0.007608454892,2.171712007,0.01563707042,2.133794246,-0.0593726246,0.01581836858,-8.218541026e-09,6.605524817e-07,4.37552493e-05,6.430347197e-11,2254.86377,-2335.961619,76.56975325,6.921000785,0,0,0,2.46414778,1.984839943,-0.007614159758
-0.1360776203,-0.006752959449,-0.006431888575,-0.3022429038,0.03805394136,2.129004218,-0.07015666844,0.03956792881,-4.769330666e-10,7.190631757e-07,4.726621984e-05,-1.840082928e-10,2254.86377,-2325.640185,64.72685837,6.92240639,0,0,0,2.65299543,1.984840001,-0.00643649274
-0.1350075517,-0.006753905352,-0.003969540429,4.085634233,0.0603163261,2.115194021,-0.05299217658,0.06178995983,3.23126787e-09,7.426539797e-07,4.793778664e-05,-8.825553507e-11,2254.86377,-2296.566605,39.95947132,6.923385271,0,0,0,2.723307415,1.984839986,-0.003973603152
-0.1837896429,-0.007075141748,0.003620167734,-2.169283341,-0.03930887255,2.083874577,0.03952365871,-0.03936487558,2.77476301e-09,9.942312792e-08,5.201307151e-05,1.83172082e-10,2254.86377,-2227.47155,-36.69208823,7.252733135,0,0,0,7.744264715,1.984839973,0.00364869191
